Title,Price(Ty),Area(m2),Bedroom,Toilet,Location,Price_per_m2(trieu)
"1 cơ hội tuyệt vời hiếm có để sở hữu 1 khách sạn mặt phố khá đẹp và gần biển, MT đường Hồ Nghinh",25.0,100,23.0,23.0,"Sơn Trà, Đà Nẵng",250.0
"Sở hữu ngay tòa nhà căn hộ dịch vụ khá đẹp gần biển, mặt tiền - 90m2 ngang 5m - 9 tầng 13 căn",15.5,90,,,"Sơn Trà, Đà Nẵng",172.22
"Hàng hiếm! Chỉ 8,3 tỷ sở hữu ngay nhà mặt tiền Lê Lợi - 50m2 ngang 3m - 4 tầng 3 pn 4 wc",8.3,50,3.0,4.0,"Hải Châu, Đà Nẵng",166.0
Chính chủ gửi bán 4 lô mặt tiền Khuê mỹ Đông 2 - Sát Hồ Xuân Hương,22.0,340,,,"Ngũ Hành Sơn, Đà Nẵng",64.71
Bán căn hộ chung cư FPT Plaza 2 nội thất cơ bản 1.75 tỷ,1.75,56,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",31.25
"Bán nhà 2 tầng đường 7m5 Khuê Mỹ Đông 7, khu nhà máy cao su, NHS rẻ nhất thị trường chỉ hơn 7 tỷ",7.6,"98,3",3.0,4.0,"Ngũ Hành Sơn, Đà Nẵng",77.31
Suất ngoại giao giám đốc Sun Group - căn 2PN view trực diện sông Hàn sở hữu giá full 100%,0.0,"70,8",2.0,2.0,"Sơn Trà, Đà Nẵng",
Bán đất biển mặt tiền Nguyễn Văn Thoại đoạn sát biển Mỹ Khê - DT lớn 400m2 - nở hậu 17m - giá 72 tỷ,72.0,400,,,"Ngũ Hành Sơn, Đà Nẵng",180.0
"Bán nhà mặt tiền Ông Ích Khiêm - Hải Châu - chỉ 13 tỷ - 2,5 tầng mới đẹp gần chợ Cồn KD sầm uất",13.0,65,2.0,3.0,"Hải Châu, Đà Nẵng",200.0
"Bán nhà đẹp 90m2 x 3 tầng đường 7m5 Đinh Đức Thiện, Hòa Minh, Liên Chiểu",6.47,90,4.0,4.0,"Liên Chiểu, Đà Nẵng",71.89
Bán villa Fusion - biệt thự biển Fusion giá cực rẻ,15.0,370,1.0,1.0,"Ngũ Hành Sơn, Đà Nẵng",40.54
Bán nhà đất mặt tiền đường Núi Thành 210m2 đang kinh doanh cafe 25 tr/th - giá 18 tỷ - nở hậu 8m,18.0,210,1.0,1.0,"Hải Châu, Đà Nẵng",85.71
Villa 3 tầng siêu đẹp mặt tiền Hoàng Đức Lương sát cầu sông Hàn - DT 200m2 ngang 10m - chỉ 19 tỷ TL,19.0,200,6.0,6.0,"Sơn Trà, Đà Nẵng",95.0
"Bán đất mặt tiền đường Nguyễn Sinh Sắc, gần Mega Market, giá siêu rẻ 75 triệu/m2",12.6,168,,,"Liên Chiểu, Đà Nẵng",75.0
Chính chủ bán cặp đất mặt tiền Trần Hưng Đạo 280m2 đối diện Euro Villa 1 LH:0793 551 ***,22.7,140,,,"Sơn Trà, Đà Nẵng",162.14
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
Chào bán nhà 3 tầng đường 7m5 Đinh Đức Thiện cách biển 300m,6.5,90,4.0,4.0,"Liên Chiểu, Đà Nẵng",72.22
Chính chủ bán nhà 2 tầng nội thất đầy đủ Hòa Minh 14,4.4,74,4.0,2.0,"Liên Chiểu, Đà Nẵng",59.46
Chủ cần bán gấp lô đất biển đường Đặng Vũ Hỷ giá sụp hầm LH:0942 776 ***,18.0,198,,,"Sơn Trà, Đà Nẵng",90.91
Bán căn hộ Alphanam Luxury Apartment 2 phòng ngủ 101m2 giá cực sốc - Toàn Huy Hoàng,7.8,101,2.0,2.0,"Sơn Trà, Đà Nẵng",77.23
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
"Sập hầm! Mặt tiền Hải Hồ, ngang 7m4, nhà 3 tầng kiên cố, 102m2 giá chỉ 8ty5 (rẻ hơn thị trường 2ty)",8.5,102,3.0,3.0,"Hải Châu, Đà Nẵng",83.33
"Sập hầm! Đường 7m5 Nguyễn Xuân Nhĩ, gần sông giá chỉ 4,49 tỷ",4.49,56,2.0,2.0,"Hải Châu, Đà Nẵng",80.18
"Bán nhà phố KDC Euro Village nội thất đẹp, giá 10.8 tỷ - Toàn Huy Hoàng",10.8,100,3.0,4.0,"Sơn Trà, Đà Nẵng",108.0
"Bán nhà 3 tầng đường Dũng Sĩ Thanh Khê mặt tiền 6,25m thuận tiện kinh doanh",7.3,"126,4",6.0,5.0,"Thanh Khê, Đà Nẵng",57.75
Nhà ngay chợ Phước Mỹ 3 cách bãi biển Phạm Văn Đồng 300m,7.0,65,3.0,3.0,"Sơn Trà, Đà Nẵng",107.69
"Bán lô đất MT Nguyễn Thần Hiến, Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",4.7,100,,,"Ngũ Hành Sơn, Đà Nẵng",47.0
Vị trí kinh doanh đắc địa 2 mặt tiền Lâm Hoành đối diện biển Mỹ Khê Đà Nẵng nhỉnh 15 tỷ,15.5,121,3.0,3.0,"Sơn Trà, Đà Nẵng",128.1
"Bán đất biệt thự KDC Euro Village hướng Tây DT 250m2, giá tốt - Toàn Huy Hoàng",31.25,250,,,"Sơn Trà, Đà Nẵng",125.0
"Cần bán cặp 204.3m2 đường An Đồn 4, An Hải Bắc, Sơn Trà, Đà Nẵng",17.0,"204,3",,,"Sơn Trà, Đà Nẵng",83.21
"Bán 3 lô liền kề 300m2 mặt tiền đường Chương Dương, view sông Hàn, gần cầu Trần Thị Lý. Giá 45 tỷ",45.0,300,,,"Ngũ Hành Sơn, Đà Nẵng",150.0
"Bán nhà 3 tầng Trần Đại Nghĩa, đối diện Kfitness, giá 7.5 tỷ",7.5,125,3.0,3.0,"Ngũ Hành Sơn, Đà Nẵng",60.0
"Bán nhà 3 tầng MT Huỳnh Thúc Kháng, Hải Châu. Giá tốt 6.3 tỷ",6.3,"41,1",3.0,3.0,"Hải Châu, Đà Nẵng",153.28
"Bán nhà 3 tầng đường 5,5m Hòa Mỹ 9, Hòa Minh, Liên Chiểu",4.76,81,3.0,3.0,"Liên Chiểu, Đà Nẵng",58.75
Bán gấp căn Shophouse gần kề tòa Panoma 1 - Ngay chân cầu Trần Thị Lý,20.8,102,,,"Ngũ Hành Sơn, Đà Nẵng",203.92
"Sở hữu ngay căn 1PN+1 dự án Symphony tại Đà Nẵng view sông hàn giá chỉ từ 1,5 tỷ, hỗ trợ LS 0% 30 T",2.5,45,1.0,1.0,"Sơn Trà, Đà Nẵng",55.56
"Bán MTKD Nguyễn Hoàng giao gần Nguyễn Văn Linh, DT khủng",90.0,880,,,"Hải Châu, Đà Nẵng",102.27
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
Chính chủ chào bán lô Mỹ Khê 1 kẹp cồng ngay lô góc sát Võ Văn Kiệt0911 190 ***,8.2,77,,,"Sơn Trà, Đà Nẵng",106.49
"Độc quyền căn studio dự án Sun Symphony diện tích 40m2 chỉ 2.5 tỷ, có hỗ trợ vay miễn lãi 30 tháng",2.5,40,1.0,1.0,"Sơn Trà, Đà Nẵng",62.5
"Bán đất khu E Kim Long - lô đất giá rẻ nhất khu E, đối diện UBND quận Liên Chiểu",4.28,100,,,"Liên Chiểu, Đà Nẵng",42.8
Bán shophouse mặt tiền đường Mê Linh full nội thất0911 190 ***,5.1,100,4.0,3.0,"Liên Chiểu, Đà Nẵng",51.0
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Bán đất đường 7.5m Đặng Huy Trứ,4.3,100,,,"Liên Chiểu, Đà Nẵng",43.0
"Bán đất đường 7.5m Bàu Mạc 22, Hoà Khánh Bắc, Liên Chiểu",3.09,100,,,"Liên Chiểu, Đà Nẵng",30.9
"Bán đất Hố Truông 1, Hoà Minh, Liên Chiểu",3.2,"88,5",,,"Liên Chiểu, Đà Nẵng",36.16
"Cần bán gấp nhà 4 tầng mặt tiền Nguyễn Hữu Thọ, Hòa Cường Bắc, 125m2. Dòng tiền cho thuê 40tr/tháng",17.5,125,12.0,12.0,"Hải Châu, Đà Nẵng",140.0
Kiệt ô tô 140/58 Nguyễn Chánh cần bán,3.1,60,3.0,2.0,"Liên Chiểu, Đà Nẵng",51.67
"Bán đất MT đường nhựa 601, DT 175m2",2.6,175,,,"Hòa Vang, Đà Nẵng",14.86
Bán lô Nguyễn Nghiễm gần Mộc Sơn 3. (Cách bãi biển Non Nước 200m),3.4,100,,,"Ngũ Hành Sơn, Đà Nẵng",34.0
"Siêu phẩm 4 tầng MT đường Cần Giuộc, Thanh Khê, Đà Nẵng",6.5,105,4.0,4.0,"Thanh Khê, Đà Nẵng",61.9
"Hot Liên Chiểu nhỉnh 5 tỷ, nhà 4 tầng mặt tiền Hoàng Văn Thái",5.4,100,4.0,4.0,"Liên Chiểu, Đà Nẵng",54.0
"Chủ cần bán nhanh lô góc mặt tiền đường Bùi Tấn Diên, giá sụp hầm. Sổ đỏ sẵn, vị trí kinh doanh tốt",0.0,"195,5",,,"Cẩm Lệ, Đà Nẵng",
Bán trọ khu đại học FPT - Việt Hàn - MT Lê Trung Đình - view công viên - thu nhập 10tr,0.0,125,,,"Ngũ Hành Sơn, Đà Nẵng",
Căn hộ Sun Ponte Đà Nẵng duy nhất 1 căn 2 phòng ngủ 68m2 giá full 3.8 tỉ,3.8,68,2.0,2.0,"Sơn Trà, Đà Nẵng",55.88
Bán đất biệt thự view sông đường Tôn Thất Dương Kỵ,10.7,"249,3",,,"Cẩm Lệ, Đà Nẵng",42.92
2PN view Novotel - vịnh Đà nẵng - Cơ hội đầu tư căn hộ bên bờ sông Hàn - chung cư Peninsula Đà Nẵng,3.3,"62,8",2.0,1.0,"Sơn Trà, Đà Nẵng",52.55
2 căn liền kề shophouse Marina Complex - Vị trí đắc địa Quận Sơn Trà - diện tích 220m2,7.6,110,3.0,3.0,"Sơn Trà, Đà Nẵng",69.09
Bán căn hộ Blooming view đỉnh ngay trung tâm Đà Nẵng,0.0,110,2.0,1.0,"Hải Châu, Đà Nẵng",
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Bán Shophouse mặt tiền 7.5m, 2 mặt sông và đường Trần Hưng Đạo, xem bắn pháo hoa tại nhà đẹp nhất",35.4,140,,,"Sơn Trà, Đà Nẵng",252.86
"Căn hộ cao cấp Symphony NH hỗ trợ 70% 0% lãi suất 30 tháng, vốn ban đầu chỉ 660 triệu, CK tới 21%",2.0,35,1.0,1.0,"Sơn Trà, Đà Nẵng",57.14
Quỹ độc quyền có CK 3% căn 1BR +  view sông Hàn hot nhất thị trường Sun Symphony Đà Nẵng,2.84,50,1.0,1.0,"Sơn Trà, Đà Nẵng",56.8
Bán căn 2 phòng ngủ Cosmo Đà Nẵng giá hấp dẫn,5.6,86,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",65.12
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
"Cần bán căn 2 ngủ toà Panoma 1, Sun Cosmo Residence",5.5,89,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",61.8
Lô góc 170m2 đối diện trường FPT giá 4tỷ5,4.5,170,,,"Ngũ Hành Sơn, Đà Nẵng",26.47
"Shophouse khối đế, tuyệt thế đầu tư - sinh lợi an cư tiềm năng vô hạn",3.5,80,,1.0,"Liên Chiểu, Đà Nẵng",43.75
Bán lô đất biển 125m2 mặt tiền Nguyễn Tất Thành thuộc Q.Thanh Khê Đông sập hầm giá 10.5 tỷ,10.5,125,,,"Thanh Khê, Đà Nẵng",84.0
"Bán lô đất view biển, mặt tiền đường Nguyễn Tất Thành, Q. Thanh Khê, Đà Nẵng giá CK rẻ nhất tuyến",9.2,125,,,"Thanh Khê, Đà Nẵng",73.6
"Bán đất biển đường Phan Tòng, cách biển chỉ 150m, Ngũ Hành Sơn",4.2,115,,,"Ngũ Hành Sơn, Đà Nẵng",36.52
"Tôi chính chủ cần bán lỗ biệt thự 3PN View đẹp tại Vinpearl Đà Nẵng lợi nhuận 1,4 tỷ/năm",0.0,500,,,"Ngũ Hành Sơn, Đà Nẵng",
Bán lô đất đẹp đường An Bắc khu trung tâm hành chính - Ngũ Hành Sơn,4.3,120,,,"Ngũ Hành Sơn, Đà Nẵng",35.83
Độc quyền quỹ căn đáng đầu tư nhất tại căn hộ Peninsula Da Nang,0.0,51,1.0,1.0,"Sơn Trà, Đà Nẵng",
Căn hộ 2PN - gần dự án Sun Symphony - nội thất cao cấp - tiện ích nội khu - sổ hồng lâu dài - LVCC,3.4,65,2.0,2.0,"Sơn Trà, Đà Nẵng",52.31
"Bán đất 169,7m2 mặt tiền đường 10m5 Nguyễn Duy Trinh, ngay Nguyễn Thức Đường, Vị trí rất đẹp",6.6,"169,7",,,"Ngũ Hành Sơn, Đà Nẵng",38.89
Bán nhà mặt tiền Lê Cảnh Tuân căn duy nhất Q. Sơn Trà. Giá thương lượng,3.9,85,2.0,2.0,"Sơn Trà, Đà Nẵng",45.88
"Bán biệt thự có hồ bơi đường Lê Hữu Khánh, khu Nam Việt Á - 200m2 giá 15,5 tỷ",15.5,200,5.0,4.0,"Ngũ Hành Sơn, Đà Nẵng",77.5
"Bán đất đường Bùi Thiện Ngộ, đối diện biệt thự siêu đẹp",4.15,100,,,"Cẩm Lệ, Đà Nẵng",41.5
"Bán đất đường Bùi Công Trừng, view công viên",4.35,100,,,"Cẩm Lệ, Đà Nẵng",43.5
Bán lô góc 2 mặt kiệt đường Võ Văn Kiệt vài bước chân ra mặt tiền. Gần biển Mỹ Khê. Giá nhỉnh 4 tỷ,4.1,65,,,"Sơn Trà, Đà Nẵng",63.08
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Bán lô góc 2 mặt tiền Đỗ Bá trục kinh doanh sầm uất khu An Thượng - 177,6m2 ngang 12m giá 24 tỷ",24.0,"177,6",,,"Ngũ Hành Sơn, Đà Nẵng",135.14
"Cực hiếm, còn duy nhất 1 căn hộ 2PN view biển, sổ đỏ sở hữu lâu dài",3.75,"82,5",2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",45.42
"Hàng hiếm Penisula căn 2PN view trực diện sông Hàn, giá CĐT ngoại giao",0.0,"64,3",2.0,2.0,"Sơn Trà, Đà Nẵng",
Hàng hiếm. Ra mắt căn hộ cao cấp view trực diện sông Hàn Đà Nẵng cạnh dự án Sun Symphony,0.0,50,1.0,1.0,"Sơn Trà, Đà Nẵng",
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Bán lô đất đường 7m5 Hải Triều gần UB quận Ngũ Hành Sơn - DT 108m2 ngang 6m,4.2,108,,,"Ngũ Hành Sơn, Đà Nẵng",38.89
"Nhà 2 tầng MT đường Lê Đình Lý, đang cho thuê 86tr/tháng, gần sân bay, bệnh viện, trường đại học",58.5,390,5.0,5.0,"Thanh Khê, Đà Nẵng",150.0
"Bán gấp nhà 3 tầng, khu phố Tây An Thượng, Đà Nẵng, du lịch quanh năm, đi bộ vài bước chân đến biển",5.5,52,3.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",105.77
"Chuyển nhượng căn hộ 2PN Filmore đẹp tầng cao, view sông, vào ở ngay, Cắt lỗ ngang giá HĐ",9.0,67,2.0,2.0,"Hải Châu, Đà Nẵng",134.33
Chào bán căn villa view nhìn ra biển full nội thất sổ hồng sở hữu lâu dài giá tốt,31.0,"616,3",3.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",50.3
Bán nhà kiệt 4m cách mặt đường chính 25m Hoàng Hoa Thám - Đà Nẵng,6.8,70,4.0,3.0,"Thanh Khê, Đà Nẵng",97.14
Chủ cần bán gấp nhà mặt tiền đường Trần Cao Vân. Khu vực xầm uất nhất,8.5,80,3.0,3.0,"Thanh Khê, Đà Nẵng",106.25
Bán lô đất đường Hải Triều ngang gần 6m xây nhà cực kỳ đẹp.0905 731 ***Mr Thắng,4.1,116,,,"Ngũ Hành Sơn, Đà Nẵng",35.34
Bán cặp đất Lê Trung Đình ngang 10m xây căn hộ cực đẹp đối diện công viên,6.0,250,,,"Ngũ Hành Sơn, Đà Nẵng",24.0
Bán lô đất Vùng Trung 9 KĐT Phú Mỹ An giá mua xây nhà,2.75,100,,,"Ngũ Hành Sơn, Đà Nẵng",27.5
Bán lô Dương Tôn Hải gần UBND phường Hoà Hải giá cực kỳ tốt,2.75,90,,,"Ngũ Hành Sơn, Đà Nẵng",30.56
Bán căn hộ 6 tầng Nguyễn Cơ Thạch đã hoàn thiện xong phần thô giá tốt,8.6,130,12.0,11.0,"Ngũ Hành Sơn, Đà Nẵng",66.15
Bán lô Thuỷ Sơn 3 bãi tắm Sơn Thuỷ giá tốt nhất thị trường,4.6,"127,5",,,"Ngũ Hành Sơn, Đà Nẵng",36.08
Chính chủ cần bán gấp lô đất mặt tiền đường Mỹ An 23,4.45,"96,3",,,"Ngũ Hành Sơn, Đà Nẵng",46.21
Bán toà văn phòng 9 tầng + hầm mặt tiền Ngô Quyền đang HĐ 220 tr/tháng - Gọi Đàm Tiến,47.0,250,,,"Sơn Trà, Đà Nẵng",188.0
Chính chủ! Cần bán căn 1PN + 1 view biển The Sang tầng 5 view Ngũ Hành Sơn cho thuê 15 triệu/ tháng,3.2,62,1.0,1.0,"Ngũ Hành Sơn, Đà Nẵng",51.61
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Chung cư sát biển Mỹ Khê Đà Nẵng được Việt Kiều mua nhiều nhất - 2PN rộng rãi chỉ 3,7 tỷ đồng",3.79,"77,4",2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",49.0
Siêu phẩm 2024 - căn hộ hạng sang 4 mặt tiền view sông hàn - Peninsula đang hot nhất Đà Nẵng,0.0,63,2.0,1.0,"Sơn Trà, Đà Nẵng",
"Chính chủ bán lô Hoàng Thiều Hoa 2,63 tỷ. Vị trí đẹp ngay biển Tân Trà - Đà Nẵng",2.63,"92,5",,,"Ngũ Hành Sơn, Đà Nẵng",28.43
"Bán đất 2 mặt tiền trước sau Núi Thành Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",20.5,161,2.0,2.0,"Hải Châu, Đà Nẵng",127.33
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Nhà 3 tầng DT 120m2 ngang 8m đường Trương Chí Cương,9.0,120,3.0,3.0,"Hải Châu, Đà Nẵng",75.0
Căn hộ 10 tầng - doanh thu khủng 600 triệu/tháng,65.0,"271,7",32.0,32.0,"Sơn Trà, Đà Nẵng",239.23
Chính chủ bán căn hộ ven biển Mỹ Khê - Full nội thất 5* - Cạnh khu phố Tây An Thượng,3.6,83,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",43.37
Bán căn hộ cao cấp 3PN - 105m2 - view trực diện biển Mỹ Khê Đà Nẵng,5.3,105,3.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",50.48
"Mặt tiền Xô Viết Nghệ Tĩnh 2 tầng 2 mặt tiền kinh doanh Hải Châu, Đà Nẵng nhỉnh 20 tỷ",25.0,"157,5",4.0,,"Hải Châu, Đà Nẵng",158.73
"Nhà 2 mặt tiền Xuân Thiều 11, cách biển 300m, 3.5tỷ",3.5,122,4.0,3.0,"Liên Chiểu, Đà Nẵng",28.69
"Đất mặt tiền đường 15m ĐT 602, đường lên Bà Nà Hill",2.4,100,,,"Hòa Vang, Đà Nẵng",24.0
Trở thành nhà đầu tư ngay hôm nay với căn nhà 2 mặt tiền đường Trần Nguyên Đán giá sập hầm,8.4,140,5.0,5.0,"Liên Chiểu, Đà Nẵng",60.0
Bán đất đường Thành Vinh 3 hai mặt tiền đường giá rẻ,8.3,"147,1",,,"Sơn Trà, Đà Nẵng",56.42
"Bán lô đất trực tiếp cho nhà đầu tư, sát sông kề biển vị trí cực đẹp",3.12,"102,5",,,"Ngũ Hành Sơn, Đà Nẵng",30.44
"Shophouse Nguyễn Sinh Sắc, 140m2 (7x20m), P. Hoà Minh, Q. Liên Chiểu, 4 tầng, giá 13,8 tỷ có TL",13.8,140,4.0,4.0,"Liên Chiểu, Đà Nẵng",98.57
"Bán nhà gác đúc y hình DT 60m2 hướng Bắc đường 5m5 DT 60m2 ngang 5m vuông vức, nhà vào ở ngay",2.65,60,2.0,2.0,"Cẩm Lệ, Đà Nẵng",44.17
Tòa căn hộ mặt biển đẹp nhất hành tinh tại thành phố đáng sống,52.0,250,18.0,18.0,"Sơn Trà, Đà Nẵng",208.0
Bán lô mặt tiền Hòa Khánh Mở rộng. Vị trí đẹp lô sạch. Hướng Đông Bắc đường Hồng Phước 3,2.15,100,,,"Liên Chiểu, Đà Nẵng",21.5
"Căn 1PN độc quyền view sông - căn hộ cao cấp Sun Ponte Residence - ngay cầu Rồng - giá chỉ 3,8 tỷ",3.0,50,1.0,1.0,"Sơn Trà, Đà Nẵng",60.0
"Nhà đẹp 3 tầng đường Lê Đình Thám, gần Chợ Mới",9.0,54,3.0,3.0,"Hải Châu, Đà Nẵng",166.67
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Cặp liền kề đường 2 làn Diên Hồng 200m2 giá chỉ 10,5 tỷ chính chủ",10.5,200,,,"Cẩm Lệ, Đà Nẵng",52.5
"Bán căn hộ 4 tầng, gần biển Mỹ Khê, Đà Nẵng, đường Nguyễn Văn Thoại",11.8,87,7.0,7.0,"Ngũ Hành Sơn, Đà Nẵng",135.63
"Bán nhà mặt tiền Lê Cảnh Tuân, DT 85m2 nhà cấp 4 lửng, giá chỉ 3,9 tỷ",3.9,85,2.0,2.0,"Sơn Trà, Đà Nẵng",45.88
Bán đất FPT Đà Nẵng 90m2 (6x15m) trục đường thông giá tốt nhất thị trường tháng 8/2024,2.9,90,,,"Ngũ Hành Sơn, Đà Nẵng",32.22
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Toà căn hộ đường Huy Cận doanh thu 45 tr/tháng giá tốt,10.2,"70,2",16.0,16.0,"Hải Châu, Đà Nẵng",145.3
"Bán đất biệt thự FPT ven sông Cổ Cò, view đẹp, diện tích từ 300 - 1000m2. Cập nhật tháng 9/2024",14.1,330,,,"Ngũ Hành Sơn, Đà Nẵng",42.73
"Gia đình cần bán nhà mặt tiền 21m Phạm Hùng, Hòa Xuân, Cẩm Lệ",6.88,100,6.0,3.0,"Cẩm Lệ, Đà Nẵng",68.8
"Bán đất mặt tiền Bùi Giáng, Quận Cẩm Lệ, gần Bắc Sơn, DT 85m2 giá 3,25 tỷ",3.25,85,,,"Cẩm Lệ, Đà Nẵng",38.24
Duy nhất căn 3PN Cosmo sở hữu 2 tầm view đóng trước 1tỷ3 - Hỗ trợ vay 70% miễn lãi 30 tháng,4.1,"83,2",3.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",49.28
Mất khả năng chính chủ bán gấp căn biệt thự sát biển diện tích 610m2 - đang cho thuê 100 tr/tháng,29.9,610,3.0,3.0,"Ngũ Hành Sơn, Đà Nẵng",49.02
Căn góc 2PN Sun Ponte ngay cầu Rồng - Đóng trước 1tỷ1 sở hữu ngay- Hỗ trợ vay 70% miễn lãi 30 tháng,3.7,68,2.0,2.0,"Sơn Trà, Đà Nẵng",54.41
"Bán lô góc Vũ Văn Cẩn và Nguyễn Quý Anh, Ngũ Hành Sơn, Đà Nẵng",6.6,"159,6",,,"Ngũ Hành Sơn, Đà Nẵng",41.35
Bán villas biển - Villa biển Mỹ Khê giá rẻ như chưa từng có về sản phẩm nghỉ dưỡng,0.0,620,3.0,3.0,"Ngũ Hành Sơn, Đà Nẵng",
"Bán nhà Euro Villa - Nhà mới cực đẹp full nội thất gỗ, giá nhỉnh 10 tỷ",0.0,100,5.0,5.0,"Sơn Trà, Đà Nẵng",
"Bán gấp lô đất đường Huỳnh Thị Một, Ngũ Hành Sơn, Đà Nẵng",2.75,100,,,"Ngũ Hành Sơn, Đà Nẵng",27.5
Sụp hầm - Cắt lỗ lô đất biệt thự mặt sông Hàn,0.0,318,,,"Cẩm Lệ, Đà Nẵng",
Giá siêu sập hầm bán shophouse Nguyễn Sinh Sắc đối diện uỷ ban quận LH:0938 283 ***,13.5,140,,,"Liên Chiểu, Đà Nẵng",96.42
"Nhà 2 tầng suốt đường Lý Thái Tông, đang cho thuê 20 tr/tháng, cạnh biển NTT, ngay trường đại học",15.8,200,3.0,3.0,"Thanh Khê, Đà Nẵng",79.0
"Bán nhà mặt tiền An Thượng 14 - khu phố tây gần biển - DT 52m2, ngang 5m - giá 4 tỷ 9 TL",4.9,52,2.0,1.0,"Ngũ Hành Sơn, Đà Nẵng",94.23
"Bán căn hộ Vista Đà Nẵng, view pháo hoa, nội thất cao cấp, giá trực tiếp từ chủ ĐT, pháp lý rõ ràng",4.18,76,2.0,2.0,"Hải Châu, Đà Nẵng",55.0
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Bán đất MT đường 10,5m Phan Thao, DT 125m2, ngay khu dự án Hoà Xuân",3.8,125,,,"Cẩm Lệ, Đà Nẵng",30.4
"Bán căn hộ Azura 2PN, 65m2 tầng cao, view sông Hàn - Trung tâm Đà Nẵng, giá ưu đãi tốt nhất",0.0,65,2.0,2.0,"Sơn Trà, Đà Nẵng",
"Bán nhà 3 tầng đường Yên Bái, vị trí đẹp gần chợ Hàn",11.0,55,3.0,3.0,"Hải Châu, Đà Nẵng",200.0
"Bán 300m2 mặt tiền đường Nguyễn Thị Sáu, Hòa Xuân, Đà Nẵng. Giá chỉ hơn 33 tr/m2 LH:0904 577 ***",10.0,300,,,"Cẩm Lệ, Đà Nẵng",33.33
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Bán rẻ hơn 1 tỷ so với thị trường căn SAM Towers căn góc 2 PN tầng 28 cực đẹp,0.0,"83,61",2.0,2.0,"Hải Châu, Đà Nẵng",
"Bán đất tặng nhà mặt tiền Quốc lộ 1A, Đông Hòa, Hòa Châu",3.5,87,,,"Hòa Vang, Đà Nẵng",40.23
"Bán đất đường Huỳnh Thị Một, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng",2.78,100,,,"Ngũ Hành Sơn, Đà Nẵng",27.8
Quỹ căn mặt sông độc quyền giá gốc từ CDT Sun Group dự án Sun Symphony tòa S1 - S2 - S3,0.0,86,2.0,2.0,"Sơn Trà, Đà Nẵng",
Tòa căn hộ vip khu phố tây An Thượng - Biển Đà Nẵng - dòng tiền 80tr/tháng,22.5,90,7.0,8.0,"Ngũ Hành Sơn, Đà Nẵng",250.0
"Cần bán nhà mặt tiền Trần Cao Vân, Quận Thanh Khê, Đà Nẵng",14.0,311,2.0,2.0,"Thanh Khê, Đà Nẵng",45.02
"Bán đất đường Sơn Thuỷ Đông 2, đường 7.5m cách bãi tắm 300m, vị trí đẹp giá tốt đầu tư",4.5,100,,,"Ngũ Hành Sơn, Đà Nẵng",45.0
"Chính chủ gửi bán nhà 3 tầng MT đường Đinh Liệt, P Hoà An, Quận Cẩm Lệ, Đà Nẵng",5.75,125,3.0,3.0,"Cẩm Lệ, Đà Nẵng",46.0
